id,label,username,name,type,tweet_count,in_degree,out_degree,weighted_in_degree,weighted_out_degree,years,score
848947348755668993,@josele_sj,josele_sj,Josele Sánchez Juan,user,13,6,46,7,183,2018:13,229
343994535,@luchicarmen,luchicarmen,CarmenMm/💗🇪🇸,user,15,16,67,24,160,2018:10|2019:5,229
1066436226,@pmusifloren,pmusifloren,Floren,user,28,12,67,15,129,2014:1|2015:3|2016:7|2017:4|2018:6|2019:7,228
885630938415329280,@albentosa_ana,albentosa_ana,Ana 🌹💜✊,user,13,7,22,28,158,2017:13,225
12392442,@diegocruzblog,diegocruzblog,Diego Cruz 🇪🇺 🌹 🇪🇸,user,32,31,46,43,86,2011:6|2014:2|2015:6|2016:2|2017:5|2018:10|2019:1,225
1573916126,@azv566,azv566,azv566,user,10,4,75,5,189,2016:1|2017:4|2018:4|2019:1,224
320798310,@AlegraAlonso,AlegraAlonso,Escajadal,user,9,55,62,89,105,2014:1|2016:1|2018:7,221
1707507288,@cansinaymontuno,cansinaymontuno,Cansina y Montuno,user,13,7,20,8,173,2018:13,220
322166299,@jmaryli,jmaryli,jota eme/❤️,user,15,31,75,52,123,2015:3|2016:8|2017:1|2018:2|2019:1,220
3252725422,@pepenbici,pepenbici,Jose Luis,user,14,31,50,54,124,2015:4|2016:8|2017:1|2018:1,220
16604913,@richinoya,richinoya,Richard Noya,user,16,30,43,79,88,2014:3|2015:8|2016:3|2017:1|2019:1,215
256659338,@Padre_orgulloso,Padre_orgulloso,2papás,user,20,2,22,3,149,2018:20,212
2247860580,@Vega2Santos,Vega2Santos,Inma Vega dos Santos /♥️,user,12,28,59,85,91,2015:5|2016:5|2017:1|2018:1,212
2462317063,@helvetico2,helvetico2,Helvético,user,11,11,30,22,156,2018:11,211
163286714,@LeticiaMenaR,LeticiaMenaR,Leticia Mena,user,19,29,46,45,108,2014:1|2015:2|2016:4|2017:12,210
13169022,@PSOECantabria,PSOECantabria,PSOE Cantabria,user,1,93,9,198,9,2015:1,210
812366668886380544,@puntocriticoDH,puntocriticoDH,Punto Crítico,user,8,9,28,35,151,2017:8,210
302313037,@Anhgi_,Anhgi_,αnhgi 🇪🇸🫶🇪🇺,user,17,10,81,12,146,2016:7|2017:4|2018:5|2019:1,209
250130628,@IsaMastro,IsaMastro,Isa Mastrodomenico .·.,user,8,46,77,57,126,2015:1|2017:1|2018:5|2019:1,207
117347522,@PacuSierra,PacuSierra,Paco Sierra,user,14,28,47,80,85,2014:4|2015:3|2017:4|2018:3,207
833957071,@Noefr86,Noefr86,Noe/❤ 🌾,user,7,27,47,49,134,2016:1|2018:6,204
806539720163467268,@sipea12,sipea12,Mili/❤️,user,10,3,65,4,164,2016:1|2017:3|2018:6,198
1137849806,@Pabluco_Cant,Pabluco_Cant,Pabluco 💢,user,6,4,38,9,170,2018:6,197
3033470022,@paquisanz51,paquisanz51,Paqui Sanz,user,16,7,60,22,127,2016:12|2017:4,197
1957300825,@domigomezlobo,domigomezlobo,Iris,user,15,4,35,6,145,2018:1|2019:14,196
457742818,@ieguiguren,ieguiguren,Isa Eguiguren,user,16,22,44,36,112,2018:14|2019:2,196
387048596,@AngelGmez,AngelGmez,Ángel Gómez González,user,15,5,39,30,119,2016:14|2018:1,194
826921724805521413,@bruylla,bruylla,Bruylla,user,9,12,28,28,137,2017:9,192
3328848064,@esthercitayfran,esthercitayfran,ESTHER Romero,user,14,10,46,51,99,2015:8|2016:6,192
3430647598,@JessClochard8,JessClochard8,Jesús Morales Calero,user,15,71,16,115,30,2016:15,190
2614296668,@belen_alcibar,belen_alcibar,belén alcibar,user,14,14,44,39,108,2014:4|2015:10,189
265776786,@Gezzchan,Gezzchan,Gezzabel (Antítesis),user,10,5,27,14,145,2018:10,189
125407623,@patricialopezl,patricialopezl,Patricia López 💜🔻🇪🇸,user,23,64,14,72,42,2018:10|2019:13,183
412136081,@modistbeat,modistbeat,Nieves,user,10,11,39,20,132,2017:10,182
76593802,@caval100,caval100,Víctor Arrogante ✊🌹🔻,user,33,8,10,15,67,2013:2|2014:29|2015:2,181
233928703,@ridermarina,ridermarina,Marina,user,14,27,40,40,99,2015:4|2016:4|2019:6,181
3332272301,@DiarioCantabria,DiarioCantabria,eldiariocantabria,user,18,29,29,41,85,2017:8|2018:8|2019:2,180
348372885,@Rabago_Rionansa,Rabago_Rionansa,Rocío Rábago,user,19,11,47,16,107,2014:1|2015:1|2016:7|2017:9|2018:1,180
2938296401,@albeda1965,albeda1965,Alberto12❤️,user,8,35,48,74,81,2018:5|2019:3,179
793015433565761538,@palenzuelayoli,palenzuelayoli,YOLANDA MADRID /❤️,user,14,3,50,3,134,2018:4|2019:10,179
568940242,@MarcoA_GM,MarcoA_GM,Marco A. Guerrero,user,3,51,40,125,44,2016:2|2018:1,178
4884761345,@chenoayyo2006,chenoayyo2006,Virginia,user,12,7,56,10,129,2017:9|2018:3,175
114153036,@Topojuan,Topojuan,Juan I,user,5,22,22,132,27,2014:4|2017:1,174
1432584109,@Mtlch50,Mtlch50,M Teresa López Chamosa/❤,user,19,15,40,53,62,2014:1|2017:1|2018:2|2019:15,172
15378099,@Santonesa,Santonesa,Santoñesa / ❤🪬,user,24,17,45,24,73,2014:6|2015:12|2016:5|2017:1,169
847450125290975233,@Vicentallorisv1,Vicentallorisv1,Vicentallorisvicaria,user,6,33,32,92,58,2017:2|2018:3|2019:1,168
